,title,company,cpage,ratings,location,days_ago,summary
132,Manager - Data & Analytics,KPMG,https://au.indeed.com/cmp/Kpmg,0.0,Sydney NSW,4,"Define and deliver enterprise information management frameworks that address data lineage, data dictionaries, data ownership, data sensitivity, data privileges…"
133,Data Scientist - Digital Information Services,Talent International,https://au.indeed.com/cmp/Talent-International,0.0,New South Wales,22,Degree in Information Technology or related field OR solid contemporary equivalent work experience combined with ongoing professional development including…
134,Medical Scientist/Immunochemist,Evolve Scientific Recruitment,https://au.indeed.com/cmp/Evolve-Scientific-Recruitment,0.0,Melbourne VIC,4,Use of LIMS for data entry of results.Located in the Northern sububrs of Melbourne.ELISA experience would be highly regarded.How to Register with Evolve:
135,Inventory officer,Beckman Coulter - Diagnostics Danaher,https://au.indeed.comn/a,0.0,Lane Cove NSW,1,"Predict future inventory needs, producing plans for buying based on forecasts and sales data.Scientists use our life science research instruments to study…"
136,Research Analyst,Urbis,https://au.indeed.com/cmp/Urbis,0.0,Perth WA,2,"Using internal databases and Microsoft Office to extract, populate and manipulate data sets;Collaborate with authentic market leaders and industry experts."
137,Senior Environment and Approvals Scientist/Engineer,GFG Alliance,https://au.indeed.comn/a,0.0,Whyalla SA,11,"Your demonstrated ability to analyse and interpret information and data, accompanied by a high standard of technical writing skills will be well regarded."
138,Data Acquisition Specialist,Seeing Machines,https://au.indeed.comn/a,0.0,Canberra ACT,4,Gather data collection requirements through consultation with algorithm scientists and algorithm performance engineers.In Python) to process data.
139,Instrument Scientists x 2 Positions Available,ANSTO,https://au.indeed.comn/a,0.0,Lucas Heights NSW,2,Reduce and correct user data and provide advice or further data processing and interpretation;We are seeking suitably qualified scientists to step into ongoing…
140,Equity Research Analyst - Banks/Financials,Macquarie Group Limited,https://au.indeed.com/cmp/Macquarie-Group-Limited,0.0,Sydney NSW,16,"Bringing a strong interest in Equity Markets, you will be an integral member of our Financials team (Banks and Diversified Financials)."
141,Environmental Consultant (Entry Level),ERM Group,https://au.indeed.comn/a,0.0,Brisbane QLD,30,"Management and analysis of technical data;Providing inputs into elements of project scoping, data management, and/or reporting;"
142,Senior Data Scientist/Engineer,Michael Page,https://au.indeed.com/cmp/Michael-Page,3.5,Perth WA,9,As an organisation they are renowned for their long-standing reputation within the Australian market for providing rewarding careers to their employees and they…
143,Qritive - Computer Vision Scientist/Engineer,TechSkills Accelerator,https://au.indeed.comn/a,0.0,Australia,30,You will work directly with CTO and other data scientists and engineers.You may be a good fit if:You are an ambitious and hard-working individual.
144,Customer Care Operator - Liaison Co-ordination Services,Murdoch Childrens Research Institute,https://au.indeed.com/cmp/Murdoch-Children's-Research-Institute,4.4,Parkville VIC,7,"Part of your role will see you working with scientists and supporting the wider team.Customer Care consists of specimen reception, data entry, liaison and co…"
145,"Analyst BT Investment, Research & Governance (MA)",BT Financial Group,https://au.indeed.com/cmp/Westpac-Group,3.9,Melbourne City Centre VIC,4,The Investment Research & Governance (IRG) Team is an integral part of BT’s business and has primary responsibility for monitoring and oversight of more than …
146,Quantitative Analyst,Suncorp Group,https://au.indeed.com/cmp/Suncorp-Group,3.8,Brisbane QLD,8,"Programming and data analysis skills with SQL and other languages required (such as C#, R, SAS, Python, Matlab, C++, VBA)."
147,Lead Data Scientist - building innovative technology for Aus...,Michael Page,https://au.indeed.com/cmp/Michael-Page,3.5,Sydney NSW,6,"They bring together expertise in cognitive computing, big data, analytic, digital business design and anthropology."
148,Medical Laboratory Assistant - Pathology Collector/Specimen...,NSW Health Pathology,https://au.indeed.com/cmp/Nsw-Health,3.9,Griffith NSW,1,"Excellent data entry skills including high attention to detail and data accuracy.Our network of pathologists are supported by scientists, technicians and…"
149,Rail Engineers - various VIC,WSP,https://au.indeed.com/cmp/Wsp,3.7,Melbourne VIC,22,"Established systems for project files/records, documents, data control and tracking compliance to business systems.Ø OHW Engineers – all levels."
150,Statistical Analyst,Equifax,https://au.indeed.com/cmp/Equifax,3.6,Melbourne VIC,30,Collaborate & learn from some of the best data minds in Australia who are passionate about all things data and analytics.Ability to quickly learn & adapt.
151,Director - Risk Data Analytics,KPMG,https://au.indeed.com/cmp/Kpmg,0.0,Melbourne VIC,30,"Define and deliver enterprise information management frameworks that address data lineage, data dictionaries, data ownership, data sensitivity, data privileges…"
152,CSIRO Postgraduate Scholarships - Data61,CSIRO,https://au.indeed.com/cmp/Csiro,0.0,Australia,30,CSIRO’s Data61 is Australia’s leading data innovation network and our mission is to create Australia’s data-driven future and build a better world for future…
153,Data Acquisition Specialist,Seeing Machines,https://au.indeed.comn/a,0.0,Canberra ACT,4,Gather data collection requirements through consultation with algorithm scientists and algorithm performance engineers.The WHY of our technology.
154,"Research Analyst, Australian Energy Coverage",Morgan Stanley,https://au.indeed.com/cmp/Morgan-Stanley,0.0,Sydney NSW,21,"Consistently ranked among the top in its field, our Equity Research team looks at economic, market, industry and company data to enhance the performance of…"
155,Machine Learning Engineer,Canva,https://au.indeed.comn/a,0.0,Sydney NSW,30,Most of the big data problems are towards being able to predict future outcomes.Two (2) years or more of commercial experience in the machine learning / data…
156,Senior Statistical Data Analyst,Nielsen,https://au.indeed.com/cmp/Nielsen,0.0,Lane Cove NSW,30,Investigate data imputation techniques to maximise data usage and complement survey analytics;Investigate and research data integration techniques (e.g. data…
157,Postdoctoral Fellowship - AI for improved quality of life fo...,CSIRO,https://au.indeed.com/cmp/Csiro,0.0,Brisbane QLD,9,Develop and validate AI algorithms to improve the accuracy of PET images using PET and MRI data.CSIRO Early Research Career (CERC) Postdoctoral Fellowships…
158,CSV Specialist,AstraZeneca,https://au.indeed.com/cmp/Astrazeneca,0.0,Macquarie Park NSW,16,"At AstraZeneca we believe that innovation needs the right environment in which to flourish.One where our 60,000+ employees at all levels are encouraged to…"
159,Quantitative Analyst,Macquarie Group Limited,https://au.indeed.com/cmp/Macquarie-Group-Limited,0.0,Sydney NSW,30,Understand the data transformations and calculations performed in systems used to estimate expected credit loss (ECL) for IFRS9 purposes.
160,"Associate Director, Risk Data Analytics",KPMG,https://au.indeed.com/cmp/Kpmg,0.0,Sydney NSW,30,"Define and deliver enterprise information management frameworks that address data lineage, data dictionaries, data ownership, data sensitivity, data privileges…"
161,Social Strategist,MSLGROUP Germany,https://au.indeed.comn/a,0.0,Melbourne VIC,5,"Our global workforce of 7,000 includes industry-leading creatives in each region, working with data scientists, technology experts and media specialists to…"
162,"Associate Director, Risk Data Analytics",KPMG,https://au.indeed.com/cmp/Kpmg,0.0,Sydney NSW,30,"Define and deliver enterprise information management frameworks that address data lineage, data dictionaries, data ownership, data sensitivity, data privileges…"
163,Analyst Predictive Modelling,Citi,https://au.indeed.com/cmp/Citi,0.0,Sydney NSW,8,"Responsible for documenting data requirements, data collection / processing / cleaning, and exploratory data analysis; Willing to learn and can-do attitude."
164,Postdoctoral Research Fellow,The University of Queensland,https://au.indeed.com/cmp/The-University-of-Queensland,0.0,Brisbane QLD,2,"Experimental design, data analyses, and manuscript preparation. Demonstrated experience in computational data analysis of super resolution microscopy…"
165,"Research Analyst, Australian Energy Coverage",Morgan Stanley,https://au.indeed.com/cmp/Morgan-Stanley,0.0,Sydney NSW,21,"Consistently ranked among the top in its field, our Equity Research team looks at economic, market, industry and company data to enhance the performance of…"
166,"Experience Management Scientist, Customer Experience",Qualtrics,https://au.indeed.comn/a,0.0,Sydney NSW,12,"Item design and data collection. Able to analyse and interpret data, and report back insights to customers. Provide post-sale consulting support to customers,…"
167,Postdoctoral Fellowship - AI for improved quality of life fo...,CSIRO,https://au.indeed.com/cmp/Csiro,0.0,Brisbane QLD,9,Develop and validate AI algorithms to improve the accuracy of PET images using PET and MRI data. CSIRO Early Research Career (CERC) Postdoctoral Fellowships…
168,Senior Research Analyst,Moreland City Council,https://au.indeed.com/cmp/Moreland-City-Council,0.0,Coburg VIC,1,Ability to maintain research data and databases in a way that improves use of research across the organisation. Maximum term position to March 2020.
169,Postdoctoral Research Fellow in Automated Machine Learning,University Of Technology Sydney,https://au.indeed.com/cmp/University-of-Technology-Sydney,0.0,Broadway NSW,4,"The Advanced Analytics Institute (AAi) is a world-leading research centre with a focus on big data, data sciences and data analytics."
170,Senior Data Engineer - Scala / Kotlin,Hyper Anna,https://au.indeed.comn/a,0.0,Sydney NSW,30,"Previous experience in software development (especially around data ETL processes including data wrangling, cleansing and data quality control)."
171,Senior Data Engineer,Origin Energy,https://au.indeed.com/cmp/Origin-Energy,0.0,Brisbane QLD,23,"Data governance, data security, metadata, data quality).Ensure data practices integrate into overall data architectures and data management principles (e.g."
172,Medical Laboratory Assistant,NSW Health Pathology,https://au.indeed.com/cmp/Nsw-Health,0.0,Campbelltown NSW,9,"Excellent data entry skills including high attention to detail and data accuracy.Our network of pathologists are supported by scientists, technicians and…"
173,Medical Laboratory Assistant – Pathology Specimen Collector...,NSW Health Pathology,https://au.indeed.com/cmp/Nsw-Health,0.0,Tumut NSW,2,"Excellent data entry skills including high attention to detail and data accuracy.Our network of pathologists are supported by scientists, technicians and…"
174,Senior Environmental Engineer/Scientist/Hydrogeologist,Golder Associates,https://au.indeed.com/cmp/Golder-Associates,0.0,West Perth WA,30,"Interpretation of hydrogeological and geochemical data from contaminated sites.Data management, interpretation and reporting for phased environmental site…"
175,Data61 PhD Scholarships,CSIRO,https://au.indeed.com/cmp/Csiro,0.0,Australia,30,Be supervised and mentored by leading data scientists and engineers with the opportunity to be embedded in Data61 research teams and groups.
176,CSV Specialist,AstraZeneca,https://au.indeed.com/cmp/Astrazeneca,0.0,Macquarie Park NSW,16,We are looking for a CSV and Data Integrity Specialist to support the Technical Services Department.Demonstrable knowledge of Data Integrity principles and…
177,Research Manager,Domain Group,https://au.indeed.com/cmp/Domain-Group,0.0,Sydney NSW,2,"But don’t worry, we’ll set you up for success with access to a plethora of analysis tools, and a team of highly talented data scientists who can dig deeper to…"
178,ShopBack - UX Researcher,TechSkills Accelerator,https://au.indeed.comn/a,0.0,Australia,30,"Work with a multi-disciplined team of Product Designers, Strategists, Data scientists and Product Managers in a fast-paced, dynamic, agile environment."
179,UX Research Lead,Mable,https://au.indeed.com/cmp/Mable,0.0,Sydney NSW,3,"Our technology team is data lead and agile, with squads of product managers, designers, data scientists and DevOps engineers collaborating to solve the big…"
180,Analyst - Market Research,IQVIA,https://au.indeed.com/cmp/Iqvia,0.0,St Leonards NSW,10,IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients.
181,Senior Manager - Data and Reporting RBS,Commonwealth Bank,https://au.indeed.com/cmp/Commonwealth-Bank,4.1,Sydney NSW,5,Embedding strong data governance and long term data strategy.Develop and execute a data strategy to uplift our data lake.At CommBank you can be you!
182,EMBL Australia Group Leader,University of New South Wales,https://au.indeed.com/cmp/University-of-New-South-Wales,4.2,Sydney NSW,4,"We particularly welcome applicants with significant experience and interest in Synthetic Biology, Cell Biology, Biophysics, Data Science, Structural Biology,…"
183,CSIRO Postgraduate Scholarships - Data61,CSIRO,https://au.indeed.com/cmp/Csiro,4.2,Australia,30,The students’ research will be co-supervised by CSIRO and university scientists.Data61 are world leaders in data science research and engineering and trusted…
184,Health Professional Level 3 - Senior Sleep Scientist,ACT Health,https://au.indeed.com/cmp/Act-Health,3.0,Canberra ACT,8,Health Professional Level 3 - Senior Sleep Scientist (Job Number:The Health Professional Level 3 (HP3) Senior Sleep Scientist role working in conjunction with…
185,Consultant - Analytics & AI,Deloitte,https://au.indeed.com/cmp/Deloitte,4.0,Melbourne VIC,30,"Consultants to identify data gaps, automate data collection.Deloitte, we give our data scientists the resources, training and tools they."
186,Procurement Officer,NSW Health Pathology,https://au.indeed.com/cmp/Nsw-Health,3.9,Newcastle NSW,7,"Compile, maintain and manage data analytics and reporting to inform statewide Procurement initiatives and opportunities.This position is a permanent position."
187,"Health Professional Level 3 - Senior Scientist Transfusion,...",ACT Health,https://au.indeed.com/cmp/Act-Health,3.0,Canberra ACT,9,"Health Professional Level 3 - Senior Scientist Transfusion, Haematology (Job Number:Monitor, review and evaluate quality and performance indicators, conduct…"
188,Senior Statistical Data Analyst,Nielsen,https://au.indeed.com/cmp/Nielsen,3.8,Lane Cove NSW,30,"Investigate data imputation techniques to maximise data usage and complement survey analytics;Dealing predominantly with sample-based data sets, Senior…"
189,Honig Postdoctoral Research Fellow,Melbourne Health,https://au.indeed.com/cmp/Royal-Melbourne-Hospital,4.2,Melbourne VIC,30,Undertake experimental procedures to acquire data.Proven ability to analyse and interpret raw data and to summarise complex data in publication quality multi…
190,APS6/EL1 DATA ANALYST/RESEARCH OFFICER,HAYS,https://au.indeed.com/cmp/Hays,3.6,Canberra ACT,30,Strong research analysis and data management skills.This Federal Government Department requires a dynamic individual who will work as a high-level Data Analyst…
191,Full Stack (Nodejs/Reactjs) Developer,2XM Technology Pty Ltd,https://au.indeed.comn/a,0.0,Sydney NSW,3,Resolution of technical issues for designers and data scientists during project life-cycle. AI Start Up based in Barangaroo. Flexible and fun work environment.
192,EL1 - Cyber Mission Assurance Research Specialist,Australian Government Department of Defence,https://au.indeed.com/cmp/Australian-Department-of-Defence,0.0,Edinburgh SA,4,"Apply artificial intelligence, machine learning and data science to solve Cyber Mission Assurance problems. You will help inspire and guide a dedicated team of…"
193,Research Fellow / Fellow | Space Geodesy Analyst | Institute...,Australian National University,https://au.indeed.com/cmp/Australian-National-University,0.0,Canberra ACT,3,"The successful candidate will be required to teach as well as develop software and analyse data from remote sensing missions (such as GRACE/GRACE Follow-On,…"
194,Senior Environmental Scientist/Engineer,Cardno,https://au.indeed.com/cmp/Cardno,0.0,Perth WA,30,"Preparing technical reports, undertaking desktop research and data analysis. Cardno’s Environment business unit is an integrated environmental services…"
195,"Experience Management Scientist, Employee Experience",Qualtrics,https://au.indeed.comn/a,0.0,Sydney NSW,12,"Have a deep understanding of good research methodology; item design and data collection. Able to analyse and interpret data, and report back insights to…"
196,Head of Architecture,Sensis Pty Ltd,https://au.indeed.com/cmp/Sensis-Pty-Ltd,0.0,Melbourne VIC,7,"Define and manage the data strategy for the organisation with a focus on governance, storage and usage. The Head of Architecture is responsible for the creation…"
197,Digital Insights Analyst,carsales.com.au,https://au.indeed.com/cmp/Carsales.com.au,0.0,Melbourne VIC,24,"This is an opportunity to work with and learn from extremely talented data analysts, engineers and scientists. What we’re looking for. And just a quick one…."
198,"Lead Representative, Data Management and Quantitative Analys...",BNY Mellon,https://au.indeed.com/cmp/Bny-Mellon,0.0,Sydney NSW,16,Manages data on Eagle’s systems and ensures information is accurate. Responds to data-related questions from internal and external clients and helps provide…
199,Senior Statistician,PSI CRO,https://au.indeed.comn/a,0.0,Sydney NSW,8,"Develop and document analysis database structures (i.e. SAS analysis data set structures). Liaise with Data Management on statistical questions, including…"
200,Software Engineer,Hyper Anna,https://au.indeed.comn/a,0.0,Sydney NSW,9,"You’ll be working in a cross functional team (engineers, designers and data scientists) and on a product that is disrupting the big data and analytics market."
201,Software Developer,Komatsu,https://au.indeed.com/cmp/Komatsu,3.9,Rutherford NSW,18,Another important aspect of the role is to act as a consultant and coach to our Data Scientists on software-related queries.Your Success is Our Success.
202,"CIB – Markets – Research Analyst, Equity Strategy & ESG – An...",JP Morgan Chase,https://au.indeed.com/cmp/JPMorgan-Chase,3.9,Sydney NSW,22,"One of the world’s most highly respected advisory franchises, J.P.Morgan’s fundamental and quantitative research has earned top rankings in surveys by…"
203,Enterprise Data Architect,Ambition,https://au.indeed.comn/a,0.0,Southbank VIC,6,"Strategically design enterprise data platform for lean, faster delivery of data, enhanced data management & engineering, advanced analytical capabilities (for…"
204,Operations Compliance Officers - Mallee Cliffs & Pilliga Nat...,Australian Wildlife Conservancy,https://au.indeed.comn/a,0.0,Narrabri NSW,7,"You must have the capacity to work with a wide range of stakeholders including land managers and scientists, neighbours, indigenous communities, local and State…"
205,APS4 – Policy and Data Analysis Officer,SOS Recruitment Australia,https://au.indeed.comn/a,0.0,Canberra ACT,10,"Working as the Policy and Data Analysis Officer, you will be required to;Intermediate or above knowledge utilising Microsoft Excel for data manipulation and…"
206,AIDA Technologies - Data Engineer,TechSkills Accelerator,https://au.indeed.comn/a,0.0,Australia,30,Understanding data science problems and solutions provided by senior data scientists.We are looking for a Data Engineer who will work on the data…
207,Data Analyst - NV1,Michael Page,https://au.indeed.com/cmp/Michael-Page,3.5,Canberra ACT,30,The successful Data Scientist will ideally have:As the Data Scientist you will be responsible for:As a Data Scientist you will join a team dedicated to…
208,Research Analyst,Dexus,https://au.indeed.com/cmp/Dexus,4.2,New South Wales,30,"Work on one of the best property portfolios in Australia, with high performing people who have big plans, for the future."
209,Data Engineer,Ambition,https://au.indeed.comn/a,0.0,Brisbane Central Business District QLD,15,"Create and manage databases, data lakes and data warehouses used for analysis by data scientists.Data profiling, data analysis, and data mapping."
210,Senior Data Engineer,Cash Converters,https://au.indeed.com/cmp/Cash-Converters,3.5,Perth WA,1,"You’ll be working alongside our data scientists to design and implement data pipelines for model development, productionisation, monitoring and insight…"
211,Python Test Programmer,Seeing Machines,https://au.indeed.comn/a,0.0,Canberra ACT,30,"Experience using numpy/scipy, or similar data processing libraries.You will collaborate with world-class Scientists, Engineers, and the world's leading car…"
212,Senior Medical Laboratory Scientist - Virology Division Rand...,NSW Health Pathology,https://au.indeed.com/cmp/Nsw-Health,3.9,Randwick NSW,10,"Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the…"
213,RESEARCH FELLOW/SENIOR RESEARCH FELLOW IN NEURODEVELOPMENTAL...,University of Melbourne,https://au.indeed.com/cmp/University-of-Melbourne,4.4,Australia,8,"Through strong links between RCH, MCRI and WEHI scientists, the program will identify mutations in the chromatin machinery in infants with brain development…"
214,Marketing Analyst,Deliveroo,https://au.indeed.com/cmp/Deliveroo,3.4,Melbourne VIC,30,Collaborating with other data scientists and marketing colleagues to drive and continually improve reporting solutions.But behind the scenes is the real story.
215,Senior UX Researcher,Canva,https://au.indeed.comn/a,0.0,Sydney NSW,30,"Nurture partnerships with Product Managers, Engineers, Data Scientists and our founders – based on their needs and priorities."
216,Senior Biostatistician,The University of Queensland,https://au.indeed.com/cmp/The-University-of-Queensland,4.3,Brisbane QLD,14,"It has extensive related data holdings.Clinical trials design and data analysis), and clinical trial linked service provision."
217,Software Engineer (Big data / Machine Learning),Spark Recruitment,https://au.indeed.comn/a,0.0,Melbourne VIC,7,"Strong competencies in data structures, algorithms, object-oriented and software design.Finally, you'll be able to grow both technical & non-technical skills…"
218,Analyst – Quantitative Analysis and Governance,AMP Limited,https://au.indeed.com/cmp/Amp,3.9,Sydney NSW,5,"Analyst Quantitative Analysis and Governance.Supporting the Manager, Quantitative Analysis and Governance the focus of this role is regular reporting for the…"
219,Research Analyst,CBRE Asia Pacific,https://au.indeed.com/cmp/Cbre-Asia-Pacific,3.9,Sydney NSW,30,"Full time, 4 days or flexible work arrangements.At CBRE, our Workplace Strategy mission is to enable people to do their best work."
220,Senior UX Writer,REA Group,https://au.indeed.com/cmp/Rea-Group,4.0,Melbourne VIC,1,"Collaborating with UX designers, Researchers, Product managers, Data Scientists, and Engineers, you own every stage of the content cycle, from brainstorming on…"
221,Senior Statistical Programmer,PAREXEL International,https://au.indeed.comn/a,0.0,Macquarie Park NSW,8,"Import/export programming specification development, test data creation and test data entry, import/export programming functional testing, as well as mapping…"
222,Senior Strategic Insights Analyst,Qantas Airways Limited,https://au.indeed.com/cmp/Qantas,4.1,Sydney NSW,30,"At Qantas we embrace data. Are you passionate about data, analytics and insights? Demonstrated experience working with marketing data to understand engagement…"
223,Analyst – Quantitative Analysis and Governance,AMP Limited,https://au.indeed.com/cmp/Amp,3.9,Sydney NSW,5,"Analyst Quantitative Analysis and Governance. Supporting the Manager, Quantitative Analysis and Governance the focus of this role is regular reporting for the…"
224,Senior Statistical Analyst,Equifax,https://au.indeed.com/cmp/Equifax,3.6,Melbourne VIC,30,Collaborate & learn from some of the best data minds in Australia who are passionate about all things data and analytics. Ability to build models independently.
225,Big Data Engineer,Firesoft People,https://au.indeed.comn/a,0.0,Surry Hills NSW,30,"Working as part of data engineering team, hand in hand with data scientists, be prepared to build cutting edge pipelines and experiment with best data…"
226,Quantitative Senior Analyst,Macquarie Group Limited,https://au.indeed.com/cmp/Macquarie-Group-Limited,3.9,Sydney NSW,5,"Based at the Macquarie Headquarters, Sydney – Join our Quantitative Applications Division team which has global responsibility for ensuring the integrity of key…"
227,Tree Management Officer,Blue Mountains City Council,https://au.indeed.com/cmp/Blue-Mountains-City-Council,4.1,Katoomba NSW,21,Ability to interrogate mapping data (using GIS) and electronic records systems. Improve the urban and environmental amenity of the City of Blue Mountains and.
228,Senior UX Writer,REA Group,https://au.indeed.com/cmp/Rea-Group,4.0,Melbourne VIC,1,"Run experiments and leverage data & analytics to inform content choices and evaluate it’s impact. Regularly use empathy, logic and data to present & rationalise…"
229,Statistical Data Analyst,HAYS,https://au.indeed.com/cmp/Hays,3.6,Canberra ACT,6,As the Statistical Data Analyst you will be modelling large data sets to extract insights from the data. Experience extracting insights from large data sets.
230,Medical Laboratory Assistant - Courier Driver,NSW Health Pathology,https://au.indeed.com/cmp/Nsw-Health,3.9,Tweed Heads NSW,7,"Excellent data entry skills including high attention to detail and data accuracy. Our network of pathologists are supported by scientists, technicians and…"
231,PhD Scholarship - Unlocking the archives of the Kimberley's...,The University of Queensland,https://au.indeed.com/cmp/The-University-of-Queensland,0.0,St Lucia QLD,4,Experience with data assimilation into paleoclimate climate models would be an advantage.Hamish McGowan and Dr. Stuart Browning and undertake their PhD as a…
232,Clinical Sequencing Applications Specialist,Thermo Fisher Scientific,https://au.indeed.com/cmp/Thermo-Fisher-Scientific,0.0,Sydney NSW,5,Strong bioinformatics skills to provide support in design and data analysis for qPCR and NGS customer projects.How you'll make an impact:What’s in it for you?
233,Consultant - client engagement / software delivery,Hyper Anna,https://au.indeed.comn/a,0.0,Sydney NSW,2,"A passion for business problems, data analytics and data-driven decision making.Hungry to learn and innovate, working alongside world-class data scientists and…"
234,Workplace Research Analyst,CBRE Asia Pacific,https://au.indeed.com/cmp/Cbre-Asia-Pacific,0.0,Melbourne VIC,30,"Demonstrated ability to think strategically and to synthesize broad sets of business, financial and people data;Change Management and Workplace Strategy."
235,"SOLUTION ENGINEER (PRESALES), DIGITAL INSIGHTS - BIG DATA IN...",Hitachi Vantara,https://au.indeed.comn/a,0.0,Sydney NSW,4,"Collaborate with technology experts, data scientists and consultants to deliver advanced custom demonstrations, workshops, and POCs.WHAT’S IN IT FOR YOU?"
236,"Software Engineer, Search & Smarts",Atlassian,https://au.indeed.com/cmp/Atlassian,0.0,Sydney NSW,30,You’ll work with our data scientists and product engineers to build smarter user experiences and to ensure our products have the necessary instrumentation and…
237,Development Team Lead - Global Incubator,Xero,https://au.indeed.comn/a,0.0,Melbourne VIC,17,"Working closely with data scientists, product owners and designers, we really will get to make a difference to the lives of small business owners."
238,Anti Money Laundering Analytics Senior Consultant,Accenture,https://au.indeed.com/cmp/Accenture,0.0,Sydney NSW,30,Work very closely with data scientists to ensure efficient and effective delivery of solutions;Experience working on big data project implementations;
239,MediaCom | Head of Strategy,MediaCom,https://au.indeed.comn/a,0.0,Melbourne VIC,30,Knows how to turn data and insights into a story.Academic partners (eg. Marketing scientists from Ehrenberg-Bass).Delivering creativity is the goal.
240,Revenue Billing Officer,NSW Health Pathology,https://au.indeed.com/cmp/Nsw-Health,0.0,New Lambton NSW,7,"Ability to understand and adhere strictly to principles of confidentiality and to ensure the integrity, reliability, accuracy of data and data systems."
241,Statistical Data Analyst,HAYS,https://au.indeed.com/cmp/Hays,3.6,Canberra ACT,6,As the Statistical Data Analyst you will be modelling large data sets to extract insights from the data.Experience extracting insights from large data sets.
242,Redesign Lead - Sydney or Newcastle,NSW Health Pathology,https://au.indeed.com/cmp/Nsw-Health,3.9,Chatswood NSW,11,"Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the…"
243,Account Executive,SAS Institute,https://au.indeed.comn/a,0.0,Sydney NSW,24,Here at JMP we are passionate about empowering scientists and engineers to explore data visually.JMP has been a part of SAS since the first version of JMP…
244,Medical Science Liaison,Bayer AG,https://au.indeed.com/cmp/Bayer,4.2,Australia,30,"Provide dissemination, clarification and education of scientific data, study protocols, meeting abstracts, and professional literature."
245,Manager Research Analyst,Morningstar,https://au.indeed.comn/a,0.0,Sydney NSW,29,"The Research group also provides data on hundreds of thousands of investment offerings, including stocks, mutual funds, and similar vehicles, along with real…"
246,Programmatic Manager,Clemenger Group,https://au.indeed.com/cmp/Clemenger-Group,3.0,Sydney NSW,30,We're fortunate to have some excellent data scientists working with us helping to build the latest and greatest in models.Running DBM for CHE Proximity.
247,Indigenous Cadetships - Data61 Engineering,CSIRO,https://au.indeed.com/cmp/Csiro,4.2,Australia,11,"This work may involve data entry, data management, statistical analysis, literature searches and the production of reports and other publications."
248,Medical Laboratory Assistant - Bourke Laboratory,NSW Health Pathology,https://au.indeed.com/cmp/Nsw-Health,3.9,Bourke NSW,7,"Excellent data entry skills including high attention to detail and data accuracy.Our network of pathologists are supported by scientists, technicians and…"
249,handshakes (DC Frontiers) - Machine Learning Programmer,TechSkills Accelerator,https://au.indeed.comn/a,0.0,Australia,30,We are looking for individuals who love solving problems and who can help us make a breakthrough in the field of Machine Learning and Natural Language…
250,Risk Assessor (Associate Level),ERM Group,https://au.indeed.comn/a,0.0,Melbourne VIC,30,"Manage, query, review, and analyze large data sets and conduct statistical analysis of data.Fieldwork experience involving environmental data collection (soil…"
251,Medical Laboratory Assistant - Courier Driver,NSW Health Pathology,https://au.indeed.com/cmp/Nsw-Health,0.0,Tweed Heads NSW,7,"Excellent data entry skills including high attention to detail and data accuracy.Our network of pathologists are supported by scientists, technicians and…"
252,Principal Consultant | Data & Analytics,viiew,https://au.indeed.comn/a,0.0,Sydney NSW,10,"Data management and analytics, data governance, data architecture, data modelling, data warehousing, data analysis and business intelligence, data integration,…"
253,Research Engineering Lead,Lockheed Martin Australia,https://au.indeed.com/cmp/Lockheed-Martin,0.0,Melbourne VIC,9,"Machine Learning, Artificial Intelligence, Data Analytics.Visualization and exploitation of data, human-machine interface."
254,AWS Big Data Engineer,Robert Walters,https://au.indeed.com/cmp/Robert-Walters,0.0,Perth WA,4,"This is a dynamic business which will see the successful candidate working across multiple disciplines and alongside data engineers, data scientists and product…"
255,Systems Engineer,Cray,https://au.indeed.comn/a,0.0,Canberra ACT,6,Ability to gather data and perform analysis and escalate to a higher level of support.CRAY) provides innovative systems and solutions enabling scientists and…
256,Senior Method Development Scientist (Immunoassays),CY Partner,https://au.indeed.comn/a,0.0,Adelaide SA,14,"Ability to analyse problems, formulate effective solutions and interpret scientific data.We have a fantastic opportunity for an experienced Senior Method…"
257,Senior Analytics Consultant,Deloitte,https://au.indeed.com/cmp/Deloitte,0.0,Brisbane QLD,5,"Consultants to identify data gaps, automate data collection.Deloitte, we give our data scientists the resources, training and tools they."
258,Senior Data Engineer,Ambition,https://au.indeed.comn/a,0.0,Brisbane Central Business District QLD,22,"This is an exciting role for someone seeking leadership responsibilities as you will mentor fellow Data Engineers, Data Analysts and Data Scientists on best…"
259,"Vice President, Research Analyst, Real Estate, Global Resear...",Bank of America,https://au.indeed.com/cmp/Bank-of-America,0.0,Sydney NSW,30,"Vice President, Research Analyst, Real Estate, Global Research, Sydney.Back to job search results.Apply Now for this job >."
260,Contaminated Land Management Consultant (Senior Scientist or...,Golder Associates,https://au.indeed.com/cmp/Golder-Associates,0.0,Richmond VIC,30,"Contaminated Land Management Consultant (Senior Scientist or Engineer).Conduct data management, interpretation and reporting for phased environmental site…"
